id;customer_name;customer_representative;customer_registration_num;customer_representative_num;customer_type;customer_category;customer_number;customer_email
1;Guyana;Bedfordshire Auto Loan Account back-end;monitor Small Wooden Ball;feed;connecting generate Music;Inlet Hungary Configurable;interface;Toys
2;overriding;internet solution;Total;Investment Account Indian Rupee;withdrawal Club Nebraska;Nevada quantify architectures;empower;customized payment
3;Grass-roots Cambridgeshire;Personal Loan Account;Music;Pants;Avon;blue scalable Car;bypassing Sleek Steel Shirt Rand Namibia Dollar;Fresh incubate Agent
4;Jewelery Engineer Bedfordshire;Tanzanian Shilling Assurance Nebraska;Gardens synthesizing;silver;system;Buckinghamshire;Bouvet Island (Bouvetoya);Auto Loan Account asymmetric Montana
5;Applications;Montenegro;frictionless;Rubber Awesome Frozen Mouse;Trinidad and Tobago Dollar;Customer-focused;Shoes Rubber Mall;users scalable
6;transmitting parse infrastructures;matrix Implementation Shirt;Mobility;Arizona synthesizing Fresh;override back-end hacking;open-source;payment National;HDD
7;Tanzanian Shilling Lights;e-enable Plaza intranet;convergence Idaho customized;synthesize Bahrain;Pre-emptive Bouvet Island (Bouvetoya) experiences;Credit Card Account;Belize Dollar Bacon;Investment Account Rwanda Customer
8;Liaison copy program;hack Electronics Oklahoma;Cambridgeshire navigate Licensed;Fantastic indexing;Investment Account;haptic Shoes;models;driver payment Mexican Peso Mexican Unidad de Inversion (UDI)
9;port Money Market Account;Chips National Idaho;vortals value-added;Salad Connecticut;Generic Advanced;HDD Security Virginia;solid state Clothing deposit;Maine Checking Account markets
10;Unbranded programming District;Concrete;Pizza yellow programming;FTP;Persistent Investment Account;Handmade Plastic Mouse neural;Money Market Account;synergize
