id;bp_name;is_headquarter;bp_zip_address;bp_address;bp_detail_address;bp_fax_number;bp_number
1;Credit Card Account;false;24/7 Re-contextualized cross-platform;invoice withdrawal;bypassing optical;installation;Argentine Peso
2;Kentucky Algerian Dinar Clothing;true;Future-proofed deposit Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented
3;Agent;true;THX pink even-keeled;bus Internal AI;THX bypassing Marketing;Dynamic Home Loan Account Tools;Branding
4;Home Gloves Latvia;true;invoice Devolved;Computers Bedfordshire Fish;payment calculating;local area network Benin;turn-key dedicated
5;Wisconsin;true;Cambridgeshire Investor;cross-platform Borders;Libyan Dinar CSS;sensor;Alaska
6;deposit Chips Applications;true;Human;back up Factors;architectures;Wisconsin Facilitator Incredible;reinvent
7;eco-centric Bedfordshire mesh;false;calculating Intranet Ergonomic Concrete Soap;Director Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant;Synergistic Personal Loan Account Sleek
8;Borders;true;deposit;extend Unbranded Fresh Pants Tools;Practical North Dakota;implementation;Wallis and Futuna
9;generating;true;Assimilated;compressing;Brunei Darussalam interface;compress lavender Investment Account;backing up
10;Iran;true;deposit panel Strategist;card Licensed Cotton Ball;mindshare Gorgeous;Chips;navigating
